,strDrink,idDrink,strAlcoholic,strCategory,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9
176,Bumble Bee #1,14538,Alcoholic,Shot,Bailey's irish cream,,,,,,,Kahlua,Sambuca,,,,,,
177,Butter Baby,17220,Alcoholic,Milk / Float / Shake,Vanilla Ice-Cream,,,,,,,Butterscotch schnapps,Milk,Vodka,,,,,
178,Cafe Savoy,14181,Alcoholic,Coffee / Tea,Coffee,,,,,,,Milk,Triple sec,Brandy,,,,,
179,Caipirinha,11202,Alcoholic,Ordinary Drink,Sugar,,,,,,,Lime,Cachaca,,,,,,
180,Caipirissima,13206,Alcoholic,Ordinary Drink,Lime,,,,,,,Sugar,White rum,Ice,,,,,
181,California Lemonade,11205,Alcoholic,Ordinary Drink,Blended whiskey,,,,,,,Lemon,Lime,Powdered sugar,Grenadine,Carbonated water,,,
182,California Root Beer,14282,Alcoholic,Soft Drink / Soda,Kahlua,,,,,,,Galliano,Soda water,,,,,,
183,Campari Beer,16047,Alcoholic,Beer,Lager,,,,,,,Campari,,,,,,,
184,Caribbean Boilermaker,17065,Alcoholic,Beer,Corona,,,,,,,Light rum,,,,,,,
185,Caribbean Orange Liqueur,12796,Alcoholic,Homemade Liqueur,Orange,,,,,,,Vodka,Sugar,,,,,,
186,Casino,17185,Alcoholic,Ordinary Drink,Gin,,,,,,,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,,,
187,Casino Royale,11224,Alcoholic,Ordinary Drink,Gin,,,,,,,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,,,
188,Castillian Hot Chocolate,12730,Non alcoholic,Cocoa,Cocoa powder,,,,,,,Sugar,Cornstarch,Water,Milk,,,,
189,Champagne Cocktail,11227,Alcoholic,Ordinary Drink,Champagne,,,,,,,Sugar,Bitters,Lemon peel,Cognac,,,,
190,Cherry Electric Lemonade,17174,,Cocktail,Gin,,,,,,,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,
191,Cherry Rum,11239,Alcoholic,Ordinary Drink,Light rum,,,,,,,Cherry brandy,Light cream,,,,,,
192,Chicago Fizz,11242,Alcoholic,Ordinary Drink,Light rum,,,,,,,Port,Lemon,Powdered sugar,Egg white,Carbonated water,,,
193,Chocolate Beverage,12732,Non alcoholic,Cocoa,Milk,,,,,,,Chocolate,Cinnamon,Egg,,,,,
194,Chocolate Black Russian,11243,Alcoholic,Ordinary Drink,Kahlua,,,,,,,Vodka,Chocolate ice-cream,,,,,,
195,Chocolate Drink,12734,Non alcoholic,Cocoa,Chocolate,,,,,,,Milk,Water,,,,,,
196,Chocolate Milk,13328,Alcoholic,Shot,Chocolate liqueur,,,,,,,Milk,Amaretto,,,,,,
197,Chocolate Monkey,15615,Optional alcohol,Milk / Float / Shake,Banana liqueur,,,,,,,Creme de Cacao,Chocolate ice-cream,Chocolate syrup,Chocolate milk,Whipped cream,Cherry,Banana,
198,Citrus Coke,17135,Alcoholic,Soft Drink / Soda,Bacardi Limon,,,,,,,Coca-Cola,,,,,,,
199,City Slicker,11251,Alcoholic,Ordinary Drink,Brandy,,,,,,,Triple sec,Lemon juice,,,,,,
200,Classic Old-Fashioned,11145,Alcoholic,Ordinary Drink,Bitters,,,,,,,Water,Sugar,Bourbon,Orange,Maraschino cherry,,,
201,Clove Cocktail,11255,Alcoholic,Ordinary Drink,Sweet Vermouth,,,,,,,Sloe gin,Wine,,,,,,
202,Clover Club,17186,Alcoholic,Ordinary Drink,Gin,,,,,,,Grenadine,Lemon,Egg white,,,,,
203,Coffee Liqueur,12798,Alcoholic,Homemade Liqueur,Coffee,,,,,,,Vanilla extract,Sugar,Vodka,Water,,,,
204,Coffee-Vodka,12800,Alcoholic,Homemade Liqueur,Water,,,,,,,Sugar,Coffee,Vanilla,Vodka,Caramel coloring,,,
205,Coke and Drops,17108,Non alcoholic,Soft Drink / Soda,Coca-Cola,,,,,,,Lemon juice,,,,,,,
206,Cosmopolitan,17196,Alcoholic,Cocktail,Absolut Citron,,,,,,,Lime juice,Cointreau,Cranberry juice,,,,,
207,Cosmopolitan Martini,14133,Alcoholic,Cocktail,Cointreau,,,,,,,Vodka,Lime,Cranberry juice,,,,,
208,Cranberry Cordial,12802,Alcoholic,Homemade Liqueur,Cranberries,,,,,,,Sugar,Light rum,,,,,,
209,Cranberry Punch,12890,Non alcoholic,Punch / Party Drink,Cranberry juice,,,,,,,Sugar,Pineapple juice,Almond flavoring,Ginger ale,,,,
210,Cream Soda,14608,Alcoholic,Cocktail,Spiced rum,,,,,,,Ginger ale,,,,,,,
211,Creme de Menthe,12808,Alcoholic,Homemade Liqueur,Sugar,,,,,,,Water,Grain alcohol,Peppermint extract,Food coloring,,,,
212,Cuba Libra,13751,Alcoholic,Ordinary Drink,Dark rum,,,,,,,Lime,Coca-Cola,Ice,,,,,
213,Cuba Libre,11288,Alcoholic,Ordinary Drink,Light rum,,,,,,,Lime,Coca-Cola,,,,,,
214,Daiquiri,11291,Alcoholic,Ordinary Drink,Light rum,,,,,,,Lime,Powdered sugar,,,,,,
215,Damned if you do,13194,Alcoholic,Shot,Whiskey,,,,,,,Hot Damn,,,,,,,
216,Danbooka,15409,Alcoholic,Coffee / Tea,Coffee,,,,,,,Everclear,,,,,,,
217,Dark Caipirinha,17177,Alcoholic,Cocktail,demerara Sugar,,,,,,,Lime,Cachaca,,,,,,
218,Dark and Stormy,17211,Alcoholic,Ordinary Drink,Dark Rum,,,,,,,Ginger Beer,,,,,,,
219,Darkwood Sling,14482,Alcoholic,Soft Drink / Soda,Cherry Heering,,,,,,,Soda water,Orange juice,Ice,,,,,
220,Derby,17187,Alcoholic,Ordinary Drink,gin,,,,,,,Peach Bitters,Mint,,,,,,
221,Diesel,13128,Alcoholic,Beer,Lager,,,,,,,Cider,Blackcurrant cordial,,,,,,
222,Dirty Martini,17181,Alcoholic,Cocktail,Vodka,,,,,,,Dry Vermouth,Olive Brine,Lemon,Olive,,,,
223,Dirty Nipple,14466,Alcoholic,Shot,Kahlua,,,,,,,Sambuca,Bailey's irish cream,,,,,,
224,Downshift,16991,Alcoholic,Punch / Party Drink,Fruit punch,,,,,,,Sprite,Tequila,151 proof rum,,,,,
225,Dragonfly,11320,Alcoholic,Ordinary Drink,Gin,,,,,,,Ginger ale,Lime,,,,,,
226,Drinking Chocolate,12736,Non alcoholic,Cocoa,Heavy cream,,,,,,,Milk,Cinnamon,Vanilla,Chocolate,Whipped cream,,,
227,Dry Rob Roy,11324,Alcoholic,Ordinary Drink,Scotch,,,,,,,Dry Vermouth,Lemon peel,,,,,,
228,Dubonnet Cocktail,11326,Alcoholic,Ordinary Drink,Dubonnet Rouge,,,,,,,Gin,Bitters,Lemon peel,,,,,
229,Duchamp's Punch,17182,Alcoholic,Cocktail,Pisco,,,,,,,Lime Juice,Pineapple Syrup,St. Germain,Angostura Bitters,Pepper,Lavender,,
230,Egg Cream,12668,Non alcoholic,Other/Unknown,Chocolate syrup,,,,,,,Milk,Soda water,,,,,,
231,Egg Nog #4,12910,Optional alcohol,Punch / Party Drink,Egg yolk,Sugar,Nutmeg,,,,,Sugar,Milk,Light rum,Bourbon,Vanilla extract,Salt,Whipping cream,Egg white
232,Egg Nog - Healthy,12916,Optional alcohol,Punch / Party Drink,Egg,,,,,,,Sugar,Condensed milk,Milk,Vanilla extract,Rum,Nutmeg,,
233,Egg-Nog - Classic Cooked,12914,Optional alcohol,Punch / Party Drink,Egg,,,,,,,Sugar,Salt,Milk,Vanilla extract,,,,
234,English Highball,11338,Alcoholic,Ordinary Drink,Brandy,,,,,,,Gin,Sweet Vermouth,Carbonated water,Lemon peel,,,,
235,English Rose Cocktail,11339,Alcoholic,Ordinary Drink,Apricot brandy,,,,,,,Gin,Dry Vermouth,Grenadine,Lemon juice,Cherry,,,
236,Espresso Martini,17212,Alcoholic,Cocktail,Vodka,,,,,,,Kahlua,Sugar syrup,,,,,,
237,Fahrenheit 5000,13070,Alcoholic,Shot,Firewater,,,,,,,Absolut Peppar,Tabasco sauce,,,,,,
238,Flaming Dr. Pepper,13202,Alcoholic,Shot,Amaretto,,,,,,,Vodka,151 proof rum,Dr. Pepper,Beer,,,,
239,Flaming Lamborghini,16485,Alcoholic,Cocktail,Kahlua,,,,,,,Sambuca,Blue Curacao,Bailey's irish cream,,,,,
240,Flander's Flake-Out,13675,Alcoholic,Ordinary Drink,Sambuca,,,,,,,Sarsaparilla,,,,,,,
241,Flying Dutchman,11368,Alcoholic,Ordinary Drink,Gin,,,,,,,Triple sec,,,,,,,
242,Flying Scotchman,11369,Alcoholic,Ordinary Drink,Scotch,,,,,,,Sweet Vermouth,Bitters,Sugar syrup,,,,,
243,Foxy Lady,11375,Alcoholic,Ordinary Drink,Amaretto,,,,,,,Creme de Cacao,Light cream,,,,,,
244,Frappé,12768,Non alcoholic,Coffee / Tea,Coffee,,,,,,,Milk,Sugar,,,,,,
245,Freddy Kruger,14688,Alcoholic,Shot,Jägermeister,,,,,,,Sambuca,Vodka,,,,,,
246,"French ""75""",11379,Alcoholic,Ordinary Drink,Gin,,,,,,,Sugar,Lemon juice,Champagne,Orange,Maraschino cherry,,,
247,French 75,17197,Alcoholic,Ordinary Drink,Gin,,,,,,,Sugar,Lemon juice,Champagne,Orange,Maraschino cherry,,,
248,French Connection,17198,Alcoholic,Ordinary Drink,Cognac,,,,,,,Amaretto,,,,,,,
249,French Martini,17213,Alcoholic,Cocktail,Vodka,,,,,,,Raspberry Liqueur,pineapple juice,,,,,,
250,Frisco Sour,11382,Alcoholic,Ordinary Drink,Blended whiskey,,,,,,,Benedictine,Lemon,Lime,Lemon,Lime,,,
251,Frozen Daiquiri,11387,Alcoholic,Ordinary Drink,Light rum,,,,,,,Triple sec,Lime juice,Sugar,Cherry,Ice,,,
252,Frozen Mint Daiquiri,11390,Alcoholic,Ordinary Drink,Light rum,,,,,,,Lime juice,Mint,Sugar,,,,,
253,Frozen Pineapple Daiquiri,11391,Alcoholic,Ordinary Drink,Light rum,,,,,,,Pineapple,Lime juice,Sugar,,,,,
254,Fruit Cooler,12670,Non alcoholic,Other/Unknown,Apple juice,,,,,,,Strawberries,Sugar,Lemon,Apple,Soda water,Ice,,
255,Fruit Flip-Flop,12672,Non alcoholic,Other/Unknown,Yoghurt,,,,,,,Fruit juice,,,,,,,
256,Fruit Shake,12674,Non alcoholic,Other/Unknown,Yoghurt,,,,,,,Banana,Orange juice,Fruit,Ice,,,,
257,Fuzzy Asshole,15743,Alcoholic,Coffee / Tea,Coffee,,,,,,,Peach schnapps,,,,,,,
258,GG,15997,Optional alcohol,Ordinary Drink,Galliano,,,,,,,Ginger ale,Ice,,,,,,
259,Gagliardo,12758,Alcoholic,Cocktail,Peach Vodka,,,,,,,Lemon juice,Galliano,Sirup of roses,,,,,
260,Gentleman's Club,11396,Alcoholic,Ordinary Drink,Gin,,,,,,,Brandy,Sweet Vermouth,Club soda,,,,,
261,Gideon's Green Dinosaur,17002,Alcoholic,Ordinary Drink,Dark rum,,,,,,,Vodka,Triple sec,Tequila,Melon liqueur,Mountain Dew,,,
262,Gin And Tonic,11403,Alcoholic,Ordinary Drink,Gin,,,,,,,Tonic water,Lime,,,,,,
263,Gin Cooler,11407,Alcoholic,Ordinary Drink,Gin,,,,,,,Carbonated water,Powdered sugar,Orange spiral,Lemon peel,,,,
264,Gin Daisy,11408,Alcoholic,Ordinary Drink,Gin,,,,,,,Lemon juice,Sugar,Grenadine,Maraschino cherry,Orange,,,
265,Gin Fizz,11410,Alcoholic,Ordinary Drink,Gin,,,,,,,Lemon,Powdered sugar,Carbonated water,,,,,
266,Gin Rickey,17230,Alcoholic,Cocktail,Gin,,,,,,,Grenadine,lemon,Soda Water,Lime,,,,
267,Gin Sling,11415,Alcoholic,Ordinary Drink,Gin,,,,,,,Lemon,Powdered sugar,Water,Orange peel,,,,
268,Gin Smash,11416,Alcoholic,Ordinary Drink,Gin,,,,,,,Carbonated water,Sugar,Mint,Orange,Cherry,,,
269,Gin Sour,11417,Alcoholic,Ordinary Drink,Gin,,,,,,,Lemon juice,Sugar,Orange,Maraschino cherry,,,,
270,Gin Squirt,11418,Alcoholic,Ordinary Drink,Gin,,,,,,,Grenadine,Powdered sugar,Pineapple,Strawberries,Carbonated water,,,
271,Gin Swizzle,11419,Alcoholic,Ordinary Drink,Lime juice,,,,,,,Sugar,Gin,Bitters,Club soda,,,,
272,Gin Toddy,11420,Alcoholic,Ordinary Drink,Gin,,,,,,,Water,Powdered sugar,Lemon peel,,,,,
273,Girl From Ipanema,17175,Alcoholic,Ordinary Drink,Cachaca,,,,,,,Lemon Juice,Agave Syrup,Champagne,,,,,
274,Gluehwein,12944,Optional alcohol,Punch / Party Drink,Red wine,,,,,,,Water,Sugar,Cinnamon,Cloves,Lemon peel,,,
275,Godchild,11422,Alcoholic,Ordinary Drink,Vodka,,,,,,,Amaretto,Heavy cream,,,,,,
276,Godfather,11423,Alcoholic,Ordinary Drink,Scotch,,,,,,,Amaretto,,,,,,,
277,Godmother,11424,Alcoholic,Ordinary Drink,Vodka,,,,,,,Amaretto,,,,,,,
278,Golden dream,17199,Alcoholic,Ordinary Drink,Galliano,,,,,,,Triple Sec,orange juice,Cream,,,,,
279,Grand Blue,15427,Alcoholic,Ordinary Drink,Malibu rum,,,,,,,Peach schnapps,Blue Curacao,Sweet and sour,,,,,
280,Grape lemon pineapple Smoothie,12712,Non alcoholic,Other/Unknown,Grapes,,,,,,,Lemon,Pineapple,,,,,,
281,Grass Skirt,11433,Alcoholic,Ordinary Drink,Gin,,,,,,,Triple sec,Pineapple juice,Grenadine,Pineapple,,,,
282,Grasshopper,17200,Alcoholic,Ordinary Drink,Green Creme de Menthe,,,,,,,Creme de Cacao,Light cream,,,,,,
283,Green Goblin,13497,Alcoholic,Beer,Cider,,,,,,,Lager,Blue Curacao,,,,,,
284,Grim Reaper,14642,Alcoholic,Ordinary Drink,Kahlua,,,,,,,151 proof rum,Grenadine,,,,,,
285,Grizzly Bear,12762,Alcoholic,Ordinary Drink,Amaretto,,,,,,,Jägermeister,Kahlua,Milk,,,,,
286,H.D.,16262,Alcoholic,Coffee / Tea,Whisky,,,,,,,Bailey's irish cream,Coffee,,,,,,
287,Happy Skipper,12766,Alcoholic,Ordinary Drink,Spiced rum,,,,,,,Ginger ale,Lime,Ice,,,,,
288,Harvey Wallbanger,11462,Alcoholic,Ordinary Drink,Vodka,,,,,,,Galliano,Orange juice,,,,,,
289,Havana Cocktail,11470,Alcoholic,Ordinary Drink,Light rum,,,,,,,Pineapple juice,Lemon juice,,,,,,
290,Hawaiian Cocktail,11472,Alcoholic,Ordinary Drink,Gin,,,,,,,Triple sec,Pineapple juice,,,,,,
291,Hemingway Special,17201,Alcoholic,Ordinary Drink,Rum,,,,,,,Grapefruit Juice,Maraschino Liqueur,Lime Juice,,,,,
292,Herbal flame,15813,Alcoholic,Coffee / Tea,Hot Damn,,,,,,,Tea,,,,,,,
293,Highland Fling Cocktail,11476,Alcoholic,Ordinary Drink,Scotch,,,,,,,Sweet Vermouth,Orange bitters,Olive,,,,,
294,Holloween Punch,12954,Non alcoholic,Punch / Party Drink,Grape juice,,,,,,,Carbonated soft drink,Sherbet,Sherbet,,,,,
295,Homemade Kahlua,17044,Alcoholic,Homemade Liqueur,Sugar,,,,,,,Corn syrup,Coffee,Vanilla extract,Water,Vodka,,,
296,Horse's Neck,17202,Alcoholic,Ordinary Drink,Lemon peel,,,,,,,Brandy,Ginger ale,Bitters,,,,,
297,Hot Chocolate to Die for,12738,Non alcoholic,Cocoa,Chocolate,,,,,,,Butter,Vanilla extract,Half-and-half,Marshmallows,,,,
298,Hot Creamy Bush,14782,Alcoholic,Coffee / Tea,Irish whiskey,,,,,,,Bailey's irish cream,Coffee,,,,,,
299,Ice Pick #1,13539,Alcoholic,Ordinary Drink,Vodka,,,,,,,Iced tea,Lemon juice,,,,,,
300,Iced Coffee,12770,Non alcoholic,Coffee / Tea,Coffee,,,,,,,Sugar,Water,Milk,,,,,
301,Iced Coffee Fillip,12772,Alcoholic,Coffee / Tea,Kahlua,,,,,,,Coffee,,,,,,,
302,Imperial Cocktail,12706,Alcoholic,Cocktail,Lime juice,,,,,,,Gin,Aperol,,,,,,
303,Imperial Fizz,11524,Alcoholic,Ordinary Drink,Light rum,,,,,,,Blended whiskey,Lemon,Powdered sugar,Carbonated water,,,,
304,Ipamena,17176,Non Alcoholic,Ordinary Drink,Lime,,,,,,,Brown sugar,Passion fruit juice,Ginger ale,Ice,,,,
305,Irish Coffee,13971,Alcoholic,Coffee / Tea,Irish whiskey,,,,,,,Coffee,Sugar,Whipped cream,,,,,
306,Irish Cream,12820,Alcoholic,Homemade Liqueur,Scotch,,,,,,,Half-and-half,Condensed milk,Coconut syrup,Chocolate syrup,,,,
307,Irish Curdling Cow,16987,Alcoholic,Cocktail,Bailey's irish cream,,,,,,,Bourbon,Vodka,Orange juice,,,,,
308,Irish Russian,17015,Alcoholic,Beer,Vodka,,,,,,,Kahlua,Coca-Cola,Guinness stout,,,,,
309,Irish Spring,11528,Alcoholic,Ordinary Drink,Irish whiskey,,,,,,,Peach brandy,Orange juice,Sweet and sour,Orange,Cherry,,,
310,Jack Rose Cocktail,11542,Alcoholic,Ordinary Drink,Apple brandy,,,,,,,Grenadine,Lime,,,,,,
311,Jack's Vanilla Coke,16275,Alcoholic,Other/Unknown,Ice,,,,,,,Tennessee whiskey,Vanilla extract,Coca-Cola,,,,,
312,Jackhammer,13847,Alcoholic,Ordinary Drink,Jack Daniels,,,,,,,Amaretto,,,,,,,
313,Jam Donut,17178,Alcoholic,Shot,Baileys irish cream,,,,,,,Chambord raspberry liqueur,Sugar syrup,Sugar,,,,,
314,Jamaica Kiss,14095,Alcoholic,Milk / Float / Shake,Coffee liqueur,,,,,,,Light rum,Ice,Milk,,,,,
315,Jamaican Coffee,15825,Alcoholic,Coffee / Tea,Rum,,,,,,,Coffee,Water,Whipped cream,,,,,
316,Japanese Fizz,11558,Alcoholic,Ordinary Drink,Blended whiskey,,,,,,,Lemon,Powdered sugar,Port,Egg white,Carbonated water,,,
317,Jello shots,14956,Alcoholic,Shot,Vodka,,,,,,,Jello,Water,,,,,,
318,Jelly Bean,13775,Alcoholic,Shot,Blackberry brandy,,,,,,,Anis,,,,,,,
319,Jewel Of The Nile,11566,Alcoholic,Ordinary Drink,Gin,,,,,,,Green Chartreuse,Yellow Chartreuse,,,,,,
320,Jitterbug,16178,Alcoholic,Cocktail,Gin,,,,,,,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,
321,John Collins,11580,Alcoholic,Ordinary Drink,Bourbon,,,,,,,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,,,
322,Just a Moonmint,12688,Non alcoholic,Milk / Float / Shake,Milk,,,,,,,Chocolate syrup,Mint syrup,,,,,,
323,Kamikaze,11600,Alcoholic,Ordinary Drink,Vodka,,,,,,,Triple sec,Lime juice,,,,,,
324,Karsk,12764,Alcoholic,Ordinary Drink,Coffee,,,,,,,Grain alcohol,,,,,,,
325,Kentucky B And B,11602,Alcoholic,Ordinary Drink,Bourbon,,,,,,,Benedictine,,,,,,,
326,Kentucky Colonel,11604,Alcoholic,Ordinary Drink,Bourbon,,,,,,,Benedictine,Lemon peel,,,,,,
327,Kill the cold Smoothie,12720,Non alcoholic,Other/Unknown,Ginger,,,,,,,Lemon,Water,,,,,,
328,Kioki Coffee,16951,Alcoholic,Coffee / Tea,Kahlua,,,,,,,Brandy,Coffee,,,,,,
329,Kir,17203,Alcoholic,Ordinary Drink,Creme de Cassis,,,,,,,Champagne,,,,,,,
330,Kir Royale,13837,Alcoholic,Ordinary Drink,Creme de Cassis,,,,,,,Champagne,,,,,,,
331,Kiss me Quick,15026,Alcoholic,Ordinary Drink,Cranberry vodka,,,,,,,Apfelkorn,Schweppes Russchian,Apple juice,Ice,,,,
332,Kiwi Lemon,14752,Alcoholic,Ordinary Drink,Kiwi liqueur,,,,,,,Bitter lemon,Ice,,,,,,
333,Kiwi Papaya Smoothie,12714,Non alcoholic,Other/Unknown,Kiwi,,,,,,,Papaya,,,,,,,
334,Kool First Aid,17006,Alcoholic,Shot,151 proof rum,,,,,,,Kool-Aid,,,,,,,
335,Kool-Aid Shot,13190,Alcoholic,Shot,Vodka,,,,,,,Amaretto,Sloe gin,Triple sec,Cranberry juice,,,,
336,Kool-Aid Slammer,14446,Alcoholic,Shot,Kool-Aid,,,,,,,Vodka,,,,,,,
337,Kurant Tea,14456,Alcoholic,Coffee / Tea,Absolut Kurant,,,,,,,Tea,Sugar,,,,,,
338,Lady Love Fizz,11634,Alcoholic,Ordinary Drink,Gin,,,,,,,Light cream,Powdered sugar,Lemon,Egg white,Carbonated water,,,
339,Lassi - A South Indian Drink,12690,Non alcoholic,Other/Unknown,Yoghurt,,,,,,,Water,Cumin seed,Salt,Mint,,,,
340,Lassi - Mango,12698,Non alcoholic,Other/Unknown,Mango,,,,,,,Yoghurt,Sugar,Water,,,,,
341,Lassi - Sweet,12696,Non alcoholic,Other/Unknown,Yoghurt,,,,,,,Water,Sugar,Salt,Lemon juice,,,,
342,Lassi Khara,12692,Non alcoholic,Other/Unknown,Yoghurt,,,,,,,Water,Salt,Asafoetida,,,,,
343,Lassi Raita,12694,Non alcoholic,Other/Unknown,Yoghurt,,,,,,,Ice,Sugar,Lime,Salt,,,,
344,Lemon Drop,14366,Alcoholic,Cocktail,Absolut Vodka,,,,,,,Cointreau,Lemon,,,,,,
345,Lemon Shot,12752,Alcoholic,Shot,Galliano,,,,,,,Absolut Citron,Lemon,Sugar,151 proof rum,,,,
346,Lemouroudji,12702,Non alcoholic,Other/Unknown,Ginger,,,,,,,Water,Lemon,Sugar,Cayenne pepper,,,,
347,Limeade,12704,Non alcoholic,Other/Unknown,Lime,,,,,,,Sugar,Soda water,Lime peel,,,,,
348,Limona Corona,15086,Alcoholic,Beer,Corona,,,,,,,Bacardi Limon,,,,,,,
349,Loch Lomond,11658,Alcoholic,Ordinary Drink,Scotch,,,,,,,Drambuie,Dry Vermouth,Lemon peel,,,,,
350,London Town,11662,Alcoholic,Ordinary Drink,Gin,,,,,,,Maraschino liqueur,Orange bitters,,,,,,
351,Lone Tree Cocktail,11664,Alcoholic,Ordinary Drink,Sweet Vermouth,,,,,,,Gin,,,,,,,
352,Lone Tree Cooler,11666,Alcoholic,Ordinary Drink,Carbonated water,,,,,,,Gin,Dry Vermouth,Powdered sugar,Orange spiral,Lemon peel,,,
353,Long Island Iced Tea,17204,Alcoholic,Ordinary Drink,Vodka,,,,,,,Tequila,Light rum,Gin,Coca-Cola,Lemon peel,,,
354,Long Island Tea,11668,Alcoholic,Ordinary Drink,Vodka,,,,,,,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,
355,Long vodka,13196,Alcoholic,Ordinary Drink,Vodka,,,,,,,Lime,Angostura bitters,Tonic water,Ice,,,,
356,Lord And Lady,11670,Alcoholic,Ordinary Drink,Dark rum,,,,,,,Tia maria,,,,,,,
357,Lunch Box,14378,Alcoholic,Beer,Beer,,,,,,,Amaretto,Orange juice,,,,,,
358,Mai Tai,11690,Alcoholic,Ordinary Drink,Light rum,,,,,,,Orgeat syrup,Triple sec,Sweet and sour,Cherry,,,,
359,Malibu Twister,15224,Alcoholic,Cocktail,Malibu rum,,,,,,,Tropicana,Cranberry juice,,,,,,
360,Mango Orange Smoothie,12716,Non alcoholic,Other/Unknown,Mango,,,,,,,Orange,,,,,,,
